genome,accession,all_accessions
SAMN02471991,"['AFHG01000054', 'AFHG01000054']","['NZ_AFHG00000000.1', 'NZ_AFHG01000060.1', 'NZ_AFHG01000059.1', 'NZ_AFHG01000058.1', 'NZ_AFHG01000057.1', 'NZ_AFHG01000056.1', 'NZ_AFHG01000055.1', 'NZ_AFHG01000054.1', 'NZ_AFHG01000053.1', 'NZ_AFHG01000052.1', 'NZ_AFHG01000051.1', 'NZ_AFHG01000050.1', 'NZ_AFHG01000049.1', 'NZ_AFHG01000048.1', 'NZ_AFHG01000047.1', 'NZ_AFHG01000046.1', 'NZ_AFHG01000045.1', 'NZ_AFHG01000044.1', 'NZ_AFHG01000043.1', 'NZ_AFHG01000042.1']"
SAMN00255229,"['AFIJ01000045', 'AFIJ01000045']","['NZ_AFIJ00000000.1', 'NZ_AFIJ01000045.1', 'NZ_AFIJ01000044.1', 'NZ_AFIJ01000043.1', 'NZ_AFIJ01000042.1', 'NZ_AFIJ01000041.1', 'NZ_AFIJ01000040.1', 'NZ_AFIJ01000039.1', 'NZ_AFIJ01000038.1', 'NZ_AFIJ01000037.1', 'NZ_AFIJ01000036.1', 'NZ_AFIJ01000035.1', 'NZ_AFIJ01000034.1', 'NZ_AFIJ01000033.1', 'NZ_AFIJ01000032.1', 'NZ_AFIJ01000031.1', 'NZ_AFIJ01000030.1', 'NZ_AFIJ01000029.1', 'NZ_AFIJ01000028.1', 'NZ_AFIJ01000027.1']"
SAMN00255226,['AFUG01000007'],"['NZ_AFUG00000000.1', 'NZ_AFUG01000049.1', 'NZ_AFUG01000048.1', 'NZ_AFUG01000047.1', 'NZ_AFUG01000046.1', 'NZ_AFUG01000045.1', 'NZ_AFUG01000044.1', 'NZ_AFUG01000043.1', 'NZ_AFUG01000042.1', 'NZ_AFUG01000041.1', 'NZ_AFUG01000040.1', 'NZ_AFUG01000039.1', 'NZ_AFUG01000038.1', 'NZ_AFUG01000037.1', 'NZ_AFUG01000036.1', 'NZ_AFUG01000035.1', 'NZ_AFUG01000034.1', 'NZ_AFUG01000033.1', 'NZ_AFUG01000032.1', 'NZ_AFUG01000031.1']"
SAMN00621698,"['AFIM01000063', 'AFIM01000016']","['NZ_AFIM00000000.1', 'NZ_AFIM01000109.1', 'NZ_AFIM01000108.1', 'NZ_AFIM01000107.1', 'NZ_AFIM01000106.1', 'NZ_AFIM01000105.1', 'NZ_AFIM01000104.1', 'NZ_AFIM01000103.1', 'NZ_AFIM01000102.1', 'NZ_AFIM01000101.1', 'NZ_AFIM01000100.1', 'NZ_AFIM01000099.1', 'NZ_AFIM01000098.1', 'NZ_AFIM01000097.1', 'NZ_AFIM01000096.1', 'NZ_AFIM01000095.1', 'NZ_AFIM01000094.1', 'NZ_AFIM01000093.1', 'NZ_AFIM01000092.1', 'NZ_AFIM01000091.1']"
SAMN02299453,"['JH379444', 'JH379375', 'JH379343', 'JH379444', 'JH379330', 'JH379375', 'JH379363', 'JH379408']","['NZ_JH379477.1', 'NZ_JH379476.1', 'NZ_JH379475.1', 'NZ_JH379474.1', 'NZ_JH379473.1', 'NZ_JH379472.1', 'NZ_JH379471.1', 'NZ_JH379470.1', 'NZ_JH379469.1', 'NZ_JH379468.1', 'NZ_JH379467.1', 'NZ_JH379466.1', 'NZ_JH379465.1', 'NZ_JH379464.1', 'NZ_JH379463.1', 'NZ_JH379462.1', 'NZ_JH379461.1', 'NZ_JH379460.1', 'NZ_JH379459.1', 'NZ_JH379458.1']"
SAMN02604119,['CP003917'],"['NC_019394.1', 'NC_019393.1', 'CP003918.1', 'CP003917.1']"
SAMN02604120,['CP003873'],"['NC_018680.1', 'NC_018679.1', 'CP003874.1', 'CP003873.1']"
SAMN02604222,['CP002667'],"['NC_015461.1', 'NC_015460.1', 'CP002667.1', 'CP002668.1']"
SAMN04487790,['FMBC01000104'],"['NZ_FMBC00000000.1', 'NZ_FMBC01000129.1', 'NZ_FMBC01000128.1', 'NZ_FMBC01000127.1', 'NZ_FMBC01000126.1', 'NZ_FMBC01000125.1', 'NZ_FMBC01000124.1', 'NZ_FMBC01000123.1', 'NZ_FMBC01000122.1', 'NZ_FMBC01000121.1', 'NZ_FMBC01000120.1', 'NZ_FMBC01000119.1', 'NZ_FMBC01000118.1', 'NZ_FMBC01000117.1', 'NZ_FMBC01000116.1', 'NZ_FMBC01000115.1', 'NZ_FMBC01000114.1', 'NZ_FMBC01000113.1', 'NZ_FMBC01000112.1', 'NZ_FMBC01000111.1']"
SAMN00621724,"['AFUL01000001', 'AFUL01000001', 'AFUL01000001']","['AFUL00000000.1', 'AFUL01000001.1']"
