Benbow_id	GI	NR_of_Genes	ATB_id	contig	containing_Genes	start	end	Strain	species_sylph	path
NC_000964.3	GI_1(extra_set)	34	SAMEA114331916	SAMEA114331916.contig00002	30	366997	393518	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMEA114331916.fa.gz
NC_000964.3	GI_1(extra_set)	34	SAMEA114331924	SAMEA114331924.contig00002	30	366997	393518	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMEA114331924.fa.gz
NC_000964.3	GI_1(extra_set)	34	SAMN33940505	SAMN33940505.contig00017	29	60729	87090	Bacillus subtilis subsp. subtilis str. 168	Bacillus mojavensis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940505.fa.gz
NC_000964.3	GI_10(extra_set)	10	SAMEA114331949	SAMEA114331949.contig00007	10	21091	30183	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMEA114331949.fa.gz
NC_000964.3	GI_10(extra_set)	10	SAMN39909520	SAMN39909520.contig00001	10	486187	495279	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN39909520.fa.gz
NC_000964.3	GI_10(extra_set)	10	SAMN33940525	SAMN33940525.contig00002	10	219039	230142	Bacillus subtilis subsp. subtilis str. 168	Bacillus vallismortis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940525.fa.gz
NC_000964.3	GI_10(extra_set)	10	SAMN33941027	SAMN33941027.contig00001	8	353703	362748	Bacillus subtilis subsp. subtilis str. 168	Bacillus atrophaeus	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33941027.fa.gz
NC_000964.3	GI_10(extra_set)	10	SAMN30711686	SAMN30711686.contig00006	10	21087	30179	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.96/SAMN30711686.fa.gz
NC_000964.3	GI_11(extra_set)	54	SAMEA114331907	SAMEA114331907.contig00013	53	6667	43599	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMEA114331907.fa.gz
NC_000964.3	GI_11(extra_set)	54	SAMEA114331933	SAMEA114331933.contig00013	53	6667	43599	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMEA114331933.fa.gz
