Accession,Start,End,Description,Label
NZ_CP011301.1,373280,399529,"NZ_CP011301.1|1|NZ_CP011301.1:373280-399529 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1109638,1126686,"NZ_CP011301.1|1|NZ_CP011301.1:1109638-1126686 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1143943,1171800,"NZ_CP011301.1|1|NZ_CP011301.1:1143943-1171800 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1255370,1264943,"NZ_CP011301.1|1|NZ_CP011301.1:1255370-1264943 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2013924,2031302,"NZ_CP011301.1|1|NZ_CP011301.1:2013924-2031302 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2422233,2445954,"NZ_CP011301.1|1|NZ_CP011301.1:2422233-2445954 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2874496,2883915,"NZ_CP011301.1|1|NZ_CP011301.1:2874496-2883915 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3398305,3422510,"NZ_CP011301.1|1|NZ_CP011301.1:3398305-3422510 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4093631,4143020,"NZ_CP011301.1|1|NZ_CP011301.1:4093631-4143020 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5122841,5138272,"NZ_CP011301.1|1|NZ_CP011301.1:5122841-5138272 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5169516,5191438,"NZ_CP011301.1|1|NZ_CP011301.1:5169516-5191438 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5669696,5694683,"NZ_CP011301.1|1|NZ_CP011301.1:5669696-5694683 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5949158,5967734,"NZ_CP011301.1|1|NZ_CP011301.1:5949158-5967734 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,940159,952136,"NZ_CP011301.1|1|NZ_CP011301.1:940159-952136 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,952699,969333,"NZ_CP011301.1|1|NZ_CP011301.1:952699-969333 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1383166,1390289,"NZ_CP011301.1|1|NZ_CP011301.1:1383166-1390289 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1981193,2023183,"NZ_CP011301.1|1|NZ_CP011301.1:1981193-2023183 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2220370,2224631,"NZ_CP011301.1|1|NZ_CP011301.1:2220370-2224631 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2440580,2455025,"NZ_CP011301.1|1|NZ_CP011301.1:2440580-2455025 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2455084,2465069,"NZ_CP011301.1|1|NZ_CP011301.1:2455084-2465069 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2696256,2701168,"NZ_CP011301.1|1|NZ_CP011301.1:2696256-2701168 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2727707,2744546,"NZ_CP011301.1|1|NZ_CP011301.1:2727707-2744546 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2784348,2794436,"NZ_CP011301.1|1|NZ_CP011301.1:2784348-2794436 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2811914,2822976,"NZ_CP011301.1|1|NZ_CP011301.1:2811914-2822976 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2870266,2879906,"NZ_CP011301.1|1|NZ_CP011301.1:2870266-2879906 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2902770,2917829,"NZ_CP011301.1|1|NZ_CP011301.1:2902770-2917829 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2959984,2964458,"NZ_CP011301.1|1|NZ_CP011301.1:2959984-2964458 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3149452,3153551,"NZ_CP011301.1|1|NZ_CP011301.1:3149452-3153551 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3153678,3160617,"NZ_CP011301.1|1|NZ_CP011301.1:3153678-3160617 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3173750,3181107,"NZ_CP011301.1|1|NZ_CP011301.1:3173750-3181107 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3197251,3201993,"NZ_CP011301.1|1|NZ_CP011301.1:3197251-3201993 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3717727,3723510,"NZ_CP011301.1|1|NZ_CP011301.1:3717727-3723510 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3773463,3777531,"NZ_CP011301.1|1|NZ_CP011301.1:3773463-3777531 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4049802,4054985,"NZ_CP011301.1|1|NZ_CP011301.1:4049802-4054985 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4081050,4091433,"NZ_CP011301.1|1|NZ_CP011301.1:4081050-4091433 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4274582,4279732,"NZ_CP011301.1|1|NZ_CP011301.1:4274582-4279732 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4290145,4294325,"NZ_CP011301.1|1|NZ_CP011301.1:4290145-4294325 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4328562,4332596,"NZ_CP011301.1|1|NZ_CP011301.1:4328562-4332596 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4370185,4375940,"NZ_CP011301.1|1|NZ_CP011301.1:4370185-4375940 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4493254,4498793,"NZ_CP011301.1|1|NZ_CP011301.1:4493254-4498793 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4503962,4519392,"NZ_CP011301.1|1|NZ_CP011301.1:4503962-4519392 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4594423,4598708,"NZ_CP011301.1|1|NZ_CP011301.1:4594423-4598708 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4601836,4605879,"NZ_CP011301.1|1|NZ_CP011301.1:4601836-4605879 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4611925,4619949,"NZ_CP011301.1|1|NZ_CP011301.1:4611925-4619949 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4624471,4628846,"NZ_CP011301.1|1|NZ_CP011301.1:4624471-4628846 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4628895,4633995,"NZ_CP011301.1|1|NZ_CP011301.1:4628895-4633995 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4634682,4639052,"NZ_CP011301.1|1|NZ_CP011301.1:4634682-4639052 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4639286,4650208,"NZ_CP011301.1|1|NZ_CP011301.1:4639286-4650208 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4659779,4664409,"NZ_CP011301.1|1|NZ_CP011301.1:4659779-4664409 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4668072,4679103,"NZ_CP011301.1|1|NZ_CP011301.1:4668072-4679103 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4681234,4694201,"NZ_CP011301.1|1|NZ_CP011301.1:4681234-4694201 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4695699,4701445,"NZ_CP011301.1|1|NZ_CP011301.1:4695699-4701445 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4714721,4732278,"NZ_CP011301.1|1|NZ_CP011301.1:4714721-4732278 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4751015,4760533,"NZ_CP011301.1|1|NZ_CP011301.1:4751015-4760533 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4762174,4767137,"NZ_CP011301.1|1|NZ_CP011301.1:4762174-4767137 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4788730,4797244,"NZ_CP011301.1|1|NZ_CP011301.1:4788730-4797244 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4802129,4810510,"NZ_CP011301.1|1|NZ_CP011301.1:4802129-4810510 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4821459,4839409,"NZ_CP011301.1|1|NZ_CP011301.1:4821459-4839409 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4863868,4882871,"NZ_CP011301.1|1|NZ_CP011301.1:4863868-4882871 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4914321,4920063,"NZ_CP011301.1|1|NZ_CP011301.1:4914321-4920063 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5012008,5026094,"NZ_CP011301.1|1|NZ_CP011301.1:5012008-5026094 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
