genome	mge_genome_position	IS_Tn	Integron	Phage	Phage_like	Conjugative_element	Mobility_island	mge_length	phage_genes	conjugation_genes	recombinase
1870951.SAMN04252929	1870951.SAMN04252929.LPPF01000080:108-84399	1	0	0	1	0	0	84291	0	0	ser_ce,Phage_integrase,Xer
1313.SAMEA1032643	1313.SAMEA1032643.CNPJ02000077:155048-175733	1	0	0	1	0	0	20685	0	0	Int_Tn916,Phage_integrase,Transposase_mut
1686394.SAMN03280186	1686394.SAMN03280186.KQ089952:337-52156	4	0	0	0	1	0	51819	0	9	Transposase_20,Relaxase,DDE_Tnp_IS240,DDE_Tnp_1,DDE_Tnp_IS240
1124910.SAMN02415157	1124910.SAMN02415157.AYCU01000063:336173-368099	1	0	0	0	1	0	31926	0	1	rve_3,IntKX
622312.SAMN00008857	622312.SAMN00008857.ACFY01000094:76-14935	1	0	0	1	0	0	14859	0	0	huh_y1,Phage_integrase
1280.SAMEA2236454	1280.SAMEA2236454.FKYI01000001:1137313-1145009	1	0	0	1	0	0	7696	0	0	Phage_integrase,TnpA
1967620.SAMN02367580	1967620.SAMN02367580.MXPK01000019:48-91894	6	0	0	0	1	0	91846	0	16	TrwC,Transposase_20,Transposase_31,Phage_integrase,Transposase_mut,Transposase_mut,rve_3,Transposase_mut
487.SAMEA2673816	487.SAMEA2673816.FESL01000001:192823-229226	1	0	1	0	0	0	36403	9	0	Int_SXT,DDE_Tnp_1
149539.SAMN02368561	149539.SAMN02368561.MYCZ01000005:198389-233554	1	0	1	0	0	0	35165	8	0	Transposase_mut,Phage_integrase,Phage_integrase,Phage_integrase
1434197.SAMN02948391	1434197.SAMN02948391.KN323015:1494448-1516425	4	0	0	0	0	1	21977	0	0	rve_3,Int_SXT,rve,rve_3,rve
1280.SAMEA734729	1280.SAMEA734729.CTRW01000026:18023-25502	1	0	0	1	0	0	7479	0	0	TnpA,Phage_integrase
311424.SAMN02598415	311424.SAMN02598415.CP001827:55968-103737	2	0	0	1	0	0	47769	0	0	Phage_integrase,rve_3,rve_3
90370.SAMEA2072676	90370.SAMEA2072676.CGTN01000003:172299-206319	1	0	1	0	0	0	34020	14	0	rve,ser_ce
766145.SAMN00792440	766145.SAMN00792440.AFGW01000046:1-20522	3	0	1	0	0	0	20521	5	0	DDE_Tnp_IS66,rve,DDE_Tnp_IS66,DDE_Tnp_IS1,Phage_integrase,Int_SXT,rve
95486.SAMN05001867	95486.SAMN05001867.MUSB01000105:1-18487	2	0	0	1	0	0	18486	0	0	Phage_integrase,rve,DDE_Tnp_IS66
1307.SAMEA3233793	1307.SAMEA3233793.CDTK01000021:196301-274937	2	0	0	0	1	0	78636	0	6	Int_Tn916,Relaxase,Int_Tn916,ser_lsr,DDE_Tnp_1_4,DDE_Tnp_1_4
1185650.SAMEA2259703	1185650.SAMEA2259703.FVYG01000006:371782-391133	1	0	0	1	0	0	19351	0	0	TnpA,Phage_integrase
29461.SAMN02777546	29461.SAMN02777546.KN046807:408791-424503	1	0	0	1	0	0	15712	1	0	Phage_integrase,DDE_Tnp_1
29461.SAMN02777546	29461.SAMN02777546.KN046807:519330-528884	1	0	0	1	0	0	9554	0	0	Phage_integrase,ser_ce
1444160.SAMN02680144	1444160.SAMN02680144.JHDM01000091:22-94100	2	0	0	1	0	0	94078	0	0	Phage_integrase,Phage_integrase,Transposase_31,DDE_Tnp_IS1
562.SAMEA2593974	562.SAMEA2593974.CCRE01000150:131-41020	1	0	0	0	1	0	40889	0	14	Int_P2,DDE_Tnp_1
1411550.SAMN02384096	1411550.SAMN02384096.KK030678:237-6508	1	0	0	1	0	0	6271	0	0	Phage_integrase,TnpA
106654.SAMD00020342	106654.SAMD00020342.BBTU01000028:415-50728	3	0	0	0	1	0	50313	0	2	rve,Tn7_Tnp_TnsA_N,DDE_Tnp_IS66
1123501.SAMN03329042	1123501.SAMN03329042.KN848372:587941-789413	1	0	0	0	0	1	201472	0	0	ser_lsr,Xer,DDE_Tnp_IS1595
1123501.SAMN03329042	1123501.SAMN03329042.KN848372:789960-1033646	4	0	0	1	0	0	243686	1	0	rve_3,ser_ce,rve_3,Phage_integrase,DEDD_Tnp_IS110
1157377.SAMN00808942	1157377.SAMN00808942.KB945895:122-33233	1	0	0	0	1	0	33111	0	5	Mob_Pre,Relaxase,rve_2
85569.SAMEA773588	85569.SAMEA773588.CTLP01000024:112-34742	1	0	0	0	0	1	34630	0	0	rve,Int_SXT
562.SAMN06220096	562.SAMN06220096.MVLK01000039:7-35493	2	0	0	1	0	0	35486	0	0	DDE_Tnp_IS66,DDE_Tnp_Tn3,ser_ce,Phage_integrase
85569.SAMEA773579	85569.SAMEA773579.CTOH01000024:125-34727	1	0	0	0	0	1	34602	0	0	rve,Int_SXT
913074.SAMN04962099	913074.SAMN04962099.MLVK01000012:878-102818	3	0	0	0	1	0	101940	0	16	Int_P2,Transposase_31,Transposase_31,Relaxase,ser_ce
1313.SAMEA1025596	1313.SAMEA1025596.CROO01000015:199-12064	3	0	0	0	0	1	11865	0	0	DDE_Tnp_1_6,DDE_Tnp_1,DDE_Tnp_1_6,Int_Tn916
13689.SAMN02677287	13689.SAMN02677287.JFYY01000019:142-94659	9	0	0	1	0	0	94517	0	0	Transposase_20,rve,DDE_3,rve_3,Phage_integrase,Phage_integrase,rve,RitA,RitB,RitC,TnpA
1409505.SAMN02381566	1409505.SAMN02381566.KK047903:34513-96699	6	0	0	0	0	1	62186	0	0	DDE_Tnp_IS240,DDE_Tnp_1,ser_lsr,rve,rve,DDE_Tnp_IS240,Transposase_20
1280.SAMEA1317330	1280.SAMEA1317330.FFWI01000010:18242-25665	1	0	0	1	0	0	7423	0	0	TnpA,Phage_integrase
