specI	genomeID	kingdom	phylum	class	order	family	genus	species	assembly_status	Marker_lineage	checkM_completness	checkM_contamination
specI_v3_Cluster1	100053.SAMN02947772	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_alexanderi	Complete	k__Bacteria_(UID2495)	95.88	0
specI_v3_Cluster201	1000561.SAMN02471202	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa	Complete	o__Pseudomonadales_(UID4488)	99.66	0.11
specI_v3_Cluster361	1000562.SAMN03114893	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_phocae	Complete	o__Lactobacillales_(UID543)	98.48	4.28
specI_v3_Cluster371	1000565.SAMN02471991	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis	Methyloversatilis_universalis	Complete	f__Rhodocyclaceae_(UID3972)	99.59	0
specI_v3_Cluster564	1000568.SAMN00255229	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera_sp._UPII_199-6	Complete	o__Selenomonadales_(UID1024)	100	0
specI_v3_Cluster565	1000569.SAMN00255226	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera_sp._UPII_135-E	Complete	o__Selenomonadales_(UID1024)	100	0
specI_v3_Cluster567	1000570.SAMD00036758	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_anginosus	Complete	g__Streptococcus_(UID559)	99.82	0
specI_v3_Cluster567	1000570.SAMN00621698	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_anginosus	Complete	g__Streptococcus_(UID559)	99.56	0
specI_v3_Cluster567	1000570.SAMN02441718	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_anginosus	Complete	g__Streptococcus_(UID559)	100	0
specI_v3_Cluster567	1000570.SAMN06624126	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_anginosus	Complete	g__Streptococcus_(UID559)	100	0
specI_v3_Cluster292	1000588.SAMN00621712	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_mitis	Complete	g__Streptococcus_(UID576)	99.82	0.24
specI_v3_Cluster316	1000589.SAMN00621722	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_dysgalactiae	Complete	f__Streptococcaceae_(UID545)	99.24	0
specI_v3_Cluster346	1000590.SAMN00761790	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_epidermidis	Complete	g__Staphylococcus_(UID294)	99.43	0.09
specI_v3_Cluster573	1000935.SAMN02469630	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma_marginale	Complete	o__Rickettsiales_(UID3811)	99.36	0.85
specI_v3_Cluster573	1000938.SAMN02469631	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma_marginale	Complete	o__Rickettsiales_(UID3811)	99.15	0.85
specI_v3_Cluster362	1000951.SAMN00622045	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	Complete	g__Vibrio_(UID4878)	99.81	0.03
specI_v3_Cluster362	1000952.SAMN00752543	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	Complete	g__Vibrio_(UID4878)	100	0.03
specI_v3_Cluster362	1000953.SAMN00262576	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	Complete	g__Vibrio_(UID4878)	100	0.03
specI_v3_Cluster577	1001530.SAMD00036551	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium_leiognathi	Complete	f__Vibrionaceae_(UID4865)	99.67	0.87
specI_v3_Cluster580	1001534.SAMN02604300	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella_tularensis	Complete	o__Thiotrichales_(UID4410)	99.62	0.27
specI_v3_Cluster281	1001582.SAMN02603189	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_amyloliquefaciens	Complete	g__Bacillus_(UID865)	99.66	0.33
specI_v3_Cluster584	1001583.SAMD00060986	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_brevis	Complete	o__Lactobacillales_(UID463)	99.06	0
specI_v3_Cluster237	1001585.SAMN02603190	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_mendocina	Complete	o__Pseudomonadales_(UID4488)	100	0.14
specI_v3_Cluster585	1001586.SAMN02436546	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	Complete	k__Bacteria_(UID2495)	94.71	0
specI_v3_Cluster585	1001587.SAMN02436547	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	Complete	k__Bacteria_(UID2495)	95.29	0
specI_v3_Cluster585	1001588.SAMN02436628	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	Complete	k__Bacteria_(UID2495)	94.71	0
specI_v3_Cluster2	1001589.SAMN02436335	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_weilii	Complete	k__Bacteria_(UID2495)	95.88	0
