Accession,Start,End,Description,Label
NC_010515.1,679623,695626,"NC_010515.1|1|NC_010515.1:679623-695626 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1123145,1142041,"NC_010515.1|1|NC_010515.1:1123145-1142041 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1209521,1237018,"NC_010515.1|1|NC_010515.1:1209521-1237018 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1381962,1423886,"NC_010515.1|1|NC_010515.1:1381962-1423886 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1519290,1531980,"NC_010515.1|1|NC_010515.1:1519290-1531980 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1624257,1706630,"NC_010515.1|1|NC_010515.1:1624257-1706630 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2108190,2178025,"NC_010515.1|1|NC_010515.1:2108190-2178025 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2457435,2464157,"NC_010515.1|1|NC_010515.1:2457435-2464157 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2689691,2716646,"NC_010515.1|1|NC_010515.1:2689691-2716646 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,84615,92138,"NC_010515.1|1|NC_010515.1:84615-92138 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,136967,142717,"NC_010515.1|1|NC_010515.1:136967-142717 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,142763,149309,"NC_010515.1|1|NC_010515.1:142763-149309 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,159308,164784,"NC_010515.1|1|NC_010515.1:159308-164784 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,256691,264423,"NC_010515.1|1|NC_010515.1:256691-264423 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,372890,378665,"NC_010515.1|1|NC_010515.1:372890-378665 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,381597,387167,"NC_010515.1|1|NC_010515.1:381597-387167 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,389318,393907,"NC_010515.1|1|NC_010515.1:389318-393907 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,396887,410217,"NC_010515.1|1|NC_010515.1:396887-410217 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,914662,919223,"NC_010515.1|1|NC_010515.1:914662-919223 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,945626,949980,"NC_010515.1|1|NC_010515.1:945626-949980 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,968257,973195,"NC_010515.1|1|NC_010515.1:968257-973195 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1125598,1139361,"NC_010515.1|1|NC_010515.1:1125598-1139361 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1213251,1222357,"NC_010515.1|1|NC_010515.1:1213251-1222357 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1222971,1227881,"NC_010515.1|1|NC_010515.1:1222971-1227881 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1228634,1235397,"NC_010515.1|1|NC_010515.1:1228634-1235397 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1248400,1253101,"NC_010515.1|1|NC_010515.1:1248400-1253101 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1386619,1391960,"NC_010515.1|1|NC_010515.1:1386619-1391960 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1402184,1410441,"NC_010515.1|1|NC_010515.1:1402184-1410441 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1414284,1418427,"NC_010515.1|1|NC_010515.1:1414284-1418427 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1419288,1425279,"NC_010515.1|1|NC_010515.1:1419288-1425279 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1434115,1442415,"NC_010515.1|1|NC_010515.1:1434115-1442415 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1489786,1503658,"NC_010515.1|1|NC_010515.1:1489786-1503658 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1623520,1629825,"NC_010515.1|1|NC_010515.1:1623520-1629825 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1642382,1651810,"NC_010515.1|1|NC_010515.1:1642382-1651810 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1694186,1700338,"NC_010515.1|1|NC_010515.1:1694186-1700338 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1703165,1715788,"NC_010515.1|1|NC_010515.1:1703165-1715788 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1715811,1720041,"NC_010515.1|1|NC_010515.1:1715811-1720041 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1906813,1920524,"NC_010515.1|1|NC_010515.1:1906813-1920524 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2020468,2026264,"NC_010515.1|1|NC_010515.1:2020468-2026264 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2070446,2074828,"NC_010515.1|1|NC_010515.1:2070446-2074828 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2075625,2080481,"NC_010515.1|1|NC_010515.1:2075625-2080481 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2122128,2150230,"NC_010515.1|1|NC_010515.1:2122128-2150230 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2160283,2176549,"NC_010515.1|1|NC_010515.1:2160283-2176549 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2210867,2216791,"NC_010515.1|1|NC_010515.1:2210867-2216791 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2222076,2236550,"NC_010515.1|1|NC_010515.1:2222076-2236550 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2238501,2248318,"NC_010515.1|1|NC_010515.1:2238501-2248318 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2249546,2254069,"NC_010515.1|1|NC_010515.1:2249546-2254069 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2346035,2350464,"NC_010515.1|1|NC_010515.1:2346035-2350464 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2355728,2363172,"NC_010515.1|1|NC_010515.1:2355728-2363172 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2508891,2515554,"NC_010515.1|1|NC_010515.1:2508891-2515554 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2515687,2526125,"NC_010515.1|1|NC_010515.1:2515687-2526125 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2526234,2533900,"NC_010515.1|1|NC_010515.1:2526234-2533900 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2554063,2562948,"NC_010515.1|1|NC_010515.1:2554063-2562948 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2590004,2599977,"NC_010515.1|1|NC_010515.1:2590004-2599977 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2623678,2633331,"NC_010515.1|1|NC_010515.1:2623678-2633331 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2635935,2642190,"NC_010515.1|1|NC_010515.1:2635935-2642190 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2671067,2681817,"NC_010515.1|1|NC_010515.1:2671067-2681817 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2685446,2691884,"NC_010515.1|1|NC_010515.1:2685446-2691884 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2696686,2703150,"NC_010515.1|1|NC_010515.1:2696686-2703150 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2708952,2717094,"NC_010515.1|1|NC_010515.1:2708952-2717094 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2720725,2727384,"NC_010515.1|1|NC_010515.1:2720725-2727384 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2788601,2793173,"NC_010515.1|1|NC_010515.1:2788601-2793173 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2801336,2812913,"NC_010515.1|1|NC_010515.1:2801336-2812913 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2814101,2830059,"NC_010515.1|1|NC_010515.1:2814101-2830059 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
